funcion	bytes	estado	archivo	detalle
func_800143E4	16	DISTINTO	src/psyq/psyq_g01.c	0 de 1 capturas y 0 de 0 variantes iguales
func_800143F4	16	DISTINTO	src/psyq/psyq_g01.c	0 de 1 capturas y 0 de 0 variantes iguales
func_80019374	132	DISTINTO	src/Font/letras_g03.c	0 de 9 capturas y 2 de 568 variantes iguales
func_80027F08	68	DISTINTO	src/membank/tarjeta_g06.c	9 de 9 capturas y 904 de 905 variantes iguales
func_8002ECFC	52	DISTINTO	src/varios/varios.c	8 de 8 capturas y 410 de 411 variantes iguales
func_80031538	352	DISTINTO	src/sabrina/sabrina_g07.c	7 de 7 capturas y 262 de 263 variantes iguales
func_80039A70	132	DISTINTO	src/objetos/forma.c	7 de 7 capturas y 599 de 600 variantes iguales
func_80039B1C	132	DISTINTO	src/objetos/forma.c	7 de 7 capturas y 599 de 600 variantes iguales
func_8003A46C	184	DISTINTO	src/colision/triangulo_g09.c	9 de 9 capturas y 598 de 601 variantes iguales
func_800483F8	112	DISTINTO	src/objetos/objetos_g10.c	7 de 7 capturas y 631 de 632 variantes iguales
func_8004E618	168	DISTINTO	src/varios/banco_b.c	9 de 9 capturas y 392 de 393 variantes iguales
ArchivoCerrar	152	IGUAL	src/File/archivo_g02.c	9 de 9 capturas y 668 de 668 variantes iguales
BitDeZona	700	IGUAL	src/SceneProcessing/zonas.c	9 de 9 capturas y 698 de 698 variantes iguales
CeldaDePosicion	92	IGUAL	src/modelLoader/cuadricula.c	9 de 9 capturas y 1183 de 1183 variantes iguales
RecogibleNoTomado	84	IGUAL	src/WobjCode/recogibles.c	3 de 3 capturas y 397 de 397 variantes iguales
RegistrarTextura	200	IGUAL	src/loadtga/registrar_g03.c	9 de 9 capturas y 852 de 852 variantes iguales
TexturaPorIndice	88	IGUAL	src/loadtga/texturas.c	9 de 9 capturas y 855 de 855 variantes iguales
func_800140BC	24	IGUAL	src/libgpu/gpu_g01.c	9 de 9 capturas y 854 de 854 variantes iguales
func_80014FF0	56	IGUAL	src/psyq/psyq_g01.c	9 de 9 capturas y 539 de 539 variantes iguales
func_800150F0	52	IGUAL	src/psyq/psyq_g01.c	9 de 9 capturas y 503 de 503 variantes iguales
func_800161D4	152	IGUAL	src/psyq/psyq_g01.c	9 de 9 capturas y 262 de 262 variantes iguales
func_80016970	48	IGUAL	src/psyq/psyq_g01.c	9 de 9 capturas y 198 de 198 variantes iguales
func_800169D4	48	IGUAL	src/psyq/libetc_g02.c	1 de 1 capturas y 28 de 28 variantes iguales
func_80016A2C	108	IGUAL	src/psyq/libetc_g02.c	9 de 9 capturas y 323 de 323 variantes iguales
func_80016B4C	384	IGUAL	src/psyq/libetc_g02.c	9 de 9 capturas y 311 de 311 variantes iguales
func_80017D3C	68	IGUAL	src/varios/cadenas_g02.c	9 de 9 capturas y 1007 de 1007 variantes iguales
func_80019234	84	IGUAL	src/Font/letras_g03.c	9 de 9 capturas y 531 de 531 variantes iguales
func_80019C04	192	IGUAL	src/GraphicTools/reiniciar_g03.c	7 de 7 capturas y 532 de 532 variantes iguales
func_8001BE8C	256	IGUAL	src/geometria/angulos.c	9 de 9 capturas y 1199 de 1199 variantes iguales
func_8001BF8C	120	IGUAL	src/geometria/angulos.c	9 de 9 capturas y 642 de 642 variantes iguales
