funcion	bytes	estado	archivo
func_800143E4	16	DISTINTO	src/psyq/psyq_g01.c
func_800143F4	16	DISTINTO	src/psyq/psyq_g01.c
func_80019374	132	DISTINTO	src/Font/letras_g03.c
func_80027F08	68	DISTINTO	src/membank/tarjeta_g06.c
func_8002ECFC	52	DISTINTO	src/varios/varios.c
func_80031538	352	DISTINTO	src/sabrina/sabrina_g07.c
func_80039A70	132	DISTINTO	src/objetos/forma.c
func_80039B1C	132	DISTINTO	src/objetos/forma.c
func_8003A46C	184	DISTINTO	src/colision/triangulo_g09.c
func_800483F8	112	DISTINTO	src/objetos/objetos_g10.c
func_8004E618	168	DISTINTO	src/varios/banco_b.c
ArchivoCerrar	152	IGUAL	src/File/archivo_g02.c
BitDeZona	700	IGUAL	src/SceneProcessing/zonas.c
CeldaDePosicion	92	IGUAL	src/modelLoader/cuadricula.c
RecogibleNoTomado	84	IGUAL	src/WobjCode/recogibles.c
RegistrarTextura	200	IGUAL	src/loadtga/registrar_g03.c
TexturaPorIndice	88	IGUAL	src/loadtga/texturas.c
func_800140BC	24	IGUAL	src/libgpu/gpu_g01.c
func_80014FF0	56	IGUAL	src/psyq/psyq_g01.c
func_800150F0	52	IGUAL	src/psyq/psyq_g01.c
func_800161D4	152	IGUAL	src/psyq/psyq_g01.c
func_80016970	48	IGUAL	src/psyq/psyq_g01.c
func_800169D4	48	IGUAL	src/psyq/libetc_g02.c
func_80016A2C	108	IGUAL	src/psyq/libetc_g02.c
func_80016B4C	384	IGUAL	src/psyq/libetc_g02.c
func_80017D3C	68	IGUAL	src/varios/cadenas_g02.c
func_80019234	84	IGUAL	src/Font/letras_g03.c
func_80019C04	192	IGUAL	src/GraphicTools/reiniciar_g03.c
func_8001BE8C	256	IGUAL	src/geometria/angulos.c
func_8001BF8C	120	IGUAL	src/geometria/angulos.c
func_8001C1D4	172	IGUAL	src/modelLoader/mundo_g03.c
func_8001C3C4	64	IGUAL	src/geometria/vectores.c
func_8001C404	88	IGUAL	src/geometria/vectores.c
func_8001C794	64	IGUAL	src/modelLoader/mundo_g03.c
func_8001D778	372	IGUAL	src/modelLoader/mando_g04.c
func_8001E06C	248	IGUAL	src/modelLoader/nodos_g04.c
func_8001E7A8	332	IGUAL	src/Object/matriz_g04.c
func_8001ED9C	72	IGUAL	src/Object/lista_g04.c
func_8001F23C	196	IGUAL	src/Object/lista_g04.c
func_8001F6C8	884	IGUAL	src/objetos/particulas.c
func_8001FA3C	544	IGUAL	src/geometria/camara.c
func_8001FD50	1348	IGUAL	src/geometria/arbol.c
func_800204F0	496	IGUAL	src/geometria/arbol.c
func_800206F0	116	IGUAL	src/Particle/nodos_g04.c
func_80020764	72	IGUAL	src/geometria/arbol.c
func_80021CE4	96	IGUAL	src/geometria/varios.c
func_80021D44	272	IGUAL	src/StratTools/girar_g05.c
func_80021E54	284	IGUAL	src/StratTools/girar_g05.c
func_80021F70	236	IGUAL	src/StratTools/girar_g05.c
func_80022104	136	IGUAL	src/geometria/angulos.c
func_800223E8	100	IGUAL	src/colision/suelo.c
func_80024300	40	IGUAL	src/WobjCode/objetos_g06.c
func_80024A48	316	IGUAL	src/geometria/arbol.c
func_80027A04	204	IGUAL	src/membank/tarjeta_g06.c
func_8002BAD4	164	IGUAL	src/varios/tabla_nombres_g07.c
func_8002C160	52	IGUAL	src/varios/tabla_nombres_g07.c
func_8002EC1C	224	IGUAL	src/varios/memoria_g07.c
func_8002ED30	28	IGUAL	src/varios/varios.c
func_8003018C	16	IGUAL	src/sabrina/estados.c
func_80030E64	100	IGUAL	src/sabrina/estados.c
func_80030F18	232	IGUAL	src/sabrina/sabrina_g07.c
func_80031494	164	IGUAL	src/sabrina/sabrina_g07.c
func_800350A4	88	IGUAL	src/objetos/camara_g08.c
func_800350FC	148	IGUAL	src/objetos/camara_g08.c
func_80036250	188	IGUAL	src/objetos/camara_g08.c
func_8003630C	260	IGUAL	src/objetos/camara_g08.c
func_80036410	276	IGUAL	src/objetos/camara_g08.c
func_80036524	204	IGUAL	src/objetos/camara_g08.c
func_8003795C	188	IGUAL	src/objetos/camara_g08.c
func_8003821C	252	IGUAL	src/objetos/camara_g08.c
func_80039AF4	40	IGUAL	src/objetos/forma.c
func_80039BA0	40	IGUAL	src/objetos/forma.c
func_80039BC8	388	IGUAL	src/objetos/choque_formas_g09.c
func_8003A070	268	IGUAL	src/objetos/choque_formas_g09.c
func_8003A17C	212	IGUAL	src/objetos/choque_formas_g09.c
func_8003A250	8	IGUAL	src/objetos/forma.c
func_8003A260	8	IGUAL	src/objetos/forma.c
func_8003AE84	196	IGUAL	src/colision/suelo.c
func_8003AF48	84	IGUAL	src/colision/suelo.c
func_8003DD44	48	IGUAL	src/audio/cd.c
func_8003E958	164	IGUAL	src/varios/bloques.c
func_800433C0	288	IGUAL	src/audio/spu_g09.c
func_80044BD4	104	IGUAL	src/audio/spu_g09.c
func_800479E8	188	IGUAL	src/objetos/objetos_g10.c
func_80047F24	172	IGUAL	src/objetos/objetos_g10.c
func_80048754	92	IGUAL	src/objetos/objetos_g10.c
func_80048CF4	204	IGUAL	src/objetos/objetos_g10.c
func_8004906C	164	IGUAL	src/objetos/objetos_g10.c
func_80049110	264	IGUAL	src/objetos/objetos_g10.c
func_800492B4	212	IGUAL	src/objetos/objetos_g10.c
func_8004E774	136	IGUAL	src/varios/banco_b.c
func_8004E86C	88	IGUAL	src/varios/banco_b.c
func_8004E8C4	460	IGUAL	src/varios/banco_b.c
func_80053F74	244	IGUAL	src/varios/texto_g11.c
func_80055CAC	320	IGUAL	src/sabrina/objetos_g12.c
func_80057F34	920	IGUAL	src/geometria/partir_80057F34.c
func_800582CC	912	IGUAL	src/geometria/partir_800582CC.c
func_8005865C	912	IGUAL	src/geometria/partir_8005865C.c
func_800589EC	1272	IGUAL	src/geometria/partir_800589EC.c
func_80058EE4	1276	IGUAL	src/geometria/partir_80058EE4.c
func_800593E0	1276	IGUAL	src/geometria/partir_800593E0.c
func_800598DC	1616	IGUAL	src/geometria/partir_800598DC.c
DanoPorEnemigo	816	IGUAL_V0	src/sabrina/dano.c
func_800249CC	124	IGUAL_V0	src/WobjCode/objetos_g06.c
func_80024DFC	368	IGUAL_V0	src/WobjCode/objetos_g06.c
func_8003019C	108	IGUAL_V0	src/sabrina/estados.c
func_8003CF60	172	IGUAL_V0	src/objetos/objeto_g09.c
func_80044D64	196	IGUAL_V0	src/objetos/objeto_g09.c
CrearParticula	952	NO_ESTA	src/objetos/objetos_g10.c
CargarANI	188	NO_TERMINA	src/varios/animaciones_g07.c
LeerCuadriculaINO	312	NO_TERMINA	src/modelLoader/cargar_g04.c
LeerModelosINO	380	NO_TERMINA	src/modelLoader/cargar_g04.c
func_8001315C	192	NO_TERMINA	src/libgpu/gpu_g01.c
func_80022D4C	268	NO_TERMINA	src/TexAnima/paletas_g06.c
func_80022E58	156	NO_TERMINA	src/TexAnima/paletas_g06.c
func_80025BA0	240	NO_TERMINA	src/membank/tarjeta_g06.c
func_8002FE64	184	NO_TERMINA	src/varios/animaciones_g07.c
func_8005A1EC	372	NO_TERMINA	src/sabrina/objetos_g12.c
func_80039A34	60	SIN_CAPTURAS	src/objetos/forma.c
func_8003A258	8	SIN_CAPTURAS	src/objetos/forma.c
ArchivoLeer	272	TOPE_DE_TIEMPO	src/File/archivo_g03.c
SubirAVRAM	96	TOPE_DE_TIEMPO	src/libgpu/gpu_g00.c
func_800112C0	284	TOPE_DE_TIEMPO	src/libgpu/gpu_g00.c
func_80012D74	104	TOPE_DE_TIEMPO	src/libgpu/gpu_g00.c
func_80012DDC	144	TOPE_DE_TIEMPO	src/libgpu/gpu_g00.c
func_80012ECC	96	TOPE_DE_TIEMPO	src/libgpu/gpu_g00.c
func_80012FE4	172	TOPE_DE_TIEMPO	src/libgpu/gpu_g00.c
func_80013090	92	TOPE_DE_TIEMPO	src/libgpu/gpu_g00.c
func_800130EC	112	TOPE_DE_TIEMPO	src/libgpu/gpu_g00.c
func_800182A8	352	TOPE_DE_TIEMPO	src/nodos/reserva_g02.c
func_80018408	128	TOPE_DE_TIEMPO	src/nodos/reserva_g02.c
func_80018488	288	TOPE_DE_TIEMPO	src/nodos/reserva_g02.c
func_800188C4	224	TOPE_DE_TIEMPO	src/File/archivo_g03.c
func_80021120	112	TOPE_DE_TIEMPO	src/Screen/pantalla_g05.c
func_80021B4C	240	TOPE_DE_TIEMPO	src/Screen/pantalla_g05.c
func_80022528	60	TOPE_DE_TIEMPO	src/TexAnima/ciclos_g05.c
func_80022564	176	TOPE_DE_TIEMPO	src/TexAnima/ciclos_g05.c
func_80022BCC	384	TOPE_DE_TIEMPO	src/TexAnima/ciclos_g05.c
