inicio	fin	modulo	funciones
80010000	80010714	?	10
80010714	8001087c	psyq	1
80010880	80013714	?	42
80013d4c	800140b8	psyq	11
800140bc	800141e0	?	9
800141ec	800142f8	psyq	7
800142fc	80014308	?	1
80014314	800143e0	psyq	13
800143e4	80014404	?	2
80014404	800144c0	psyq	12
800144c4	800145cc	?	2
800145d0	80014668	psyq	3
80014774	80014a7c	?	2
80014a7c	80014ae4	psyq	1
80014aec	80014b14	?	2
80014b1c	80014b4c	psyq	2
80014b4c	80014b80	?	1
80014b80	80014f10	psyq	15
80014f10	80014f40	?	1
80014f40	80014fe4	psyq	2
80014ff0	80015028	?	1
80015030	800150e4	psyq	3
800150f0	80015124	?	1
80015130	80016164	psyq	66
80016170	800161ac	?	1
800161ac	800161b8	psyq	1
800161bc	80017314	?	27
80017314	800175ec	psyq	6
800175f4	80017640	?	1
80017644	800177b4	psyq	6
800177b4	80017834	?	1
8001783c	80017b5c	psyq	4
80017b5c	80017d80	?	8
80017d80	800182a8	BasicTools.c	5
800182a8	80018728	?	5
80018728	80018c14	File.cpp	6
80018c14	8001951c	Font.c	11
8001951c	80019fbc	?	8
80019fbc	8001af34	GraphicTools.c	8
8001af34	8001b000	?	1
8001b0c8	8001be8c	loadtga.c	9
8001be8c	8001c7d4	?	15
8001c7d4	8001d518	modelLoader.c	6
8001d518	8001e2dc	?	9
8001e2dc	8001e364	Object.c	1
8001e364	8001f4a8	?	13
8001f4a8	8001f6c8	Particle.c	3
8001f6c8	80020a48	?	14
80020a48	80020d04	SceneProcessing.c	1
80020d04	8002153c	?	6
8002153c	800217d0	Screen.c	1
800217d0	80021c48	?	8
80021c48	80021ce4	StratTools.c	1
80021ce4	80022614	?	17
80022614	80022bcc	TexAnima.c	2
80022bcc	8002456c	?	19
8002456c	800246a0	WobjCode.c	1
800246a0	80025dd4	?	23
80025de8	80025ef8	psyq	2
80025ef8	8002954c	?	36
8002954c	800297c4	psyq	4
800297cc	80029e74	?	15
80029e74	80029eb4	psyq	2
80029eb4	8002a01c	?	4
8002a01c	8002a09c	psyq	1
8002a09c	8002b604	?	9
8002b604	8002b704	psyq	1
8002b704	8002c160	?	7
8002c194	8002cb00	psyq	15
8002cb2c	8002d110	?	4
8002d110	8002d170	psyq	1
8002d170	8002d1f0	?	1
8002d1f0	8002d518	psyq	7
8002d520	8003eb1c	?	170
8003eb28	8003f724	psyq	27
8003f728	8003f74c	?	1
8003f758	8003f7a0	psyq	1
8003f7a8	8003f7cc	?	1
8003f7d8	8003fd5c	psyq	17
8003fd68	8003fda8	?	2
8003fda8	80041c48	psyq	86
80041c48	80041c80	?	1
80041c88	80041cd8	psyq	1
80041cd8	80041f08	?	1
80041fa8	80041fc8	psyq	1
80041fc8	80042148	?	1
80042148	800425c4	psyq	15
800425c8	80042998	?	2
80042998	80042b60	psyq	2
80042b68	80042ffc	?	2
80043008	80043358	psyq	2
80043358	800434e0	?	2
800434ec	800447d0	psyq	26
800447e4	80044c74	?	2
80044c74	80044d5c	psyq	3
80044d64	8004d0c0	?	123
8004d0c0	8004dac4	btrigger.c	1
8004dac4	8004e2e4	?	11
8004e2e4	8004e6c0	membank.cpp	4
8004e6c0	80051820	?	48
800518d4	800519dc	psyq	5
800519e4	80052044	?	15
80052044	80052108	psyq	10
800521ac	80053c74	?	30
80053c74	80053ed8	trigger.c	1
80053ed8	8005cebc	?	79
8005cebc	8005d844	Movie.c	11
8005d844	8005de0c	?	12
8005de0c	8005e270	psyq	4
8005e27c	800609b0	?	15
